,Key,jpath
0,personal glipse,"['basics', 'personal']"
1,personal details,"['basics', 'personal']"
2,additional information,"['basics', 'personal']"
3,about me,"['basics', 'personal']"
4,synopsis,"['basics', 'personal']"
5,personal strength,"['basics', 'personal']"
6,personal,"['basics', 'personal']"
7,personal strength,"['basics', 'personal']"
8,personal information,"['basics', 'personal']"
9,personal summary,"['basics', 'personal']"
10,personal information,"['basics', 'personal']"
11,personal dossier,"['basics', 'personal']"
12,personnal details,"['basics', 'personal']"
13,personal profile,"['basics', 'personal']"
14,personal info,"['basics', 'personal']"
15,personal traits,"['basics', 'personal']"
16,personal detail,"['basics', 'personal']"
17,personal information,"['basics', 'personal']"
18,personal interests,"['basics', 'personal']"
19,personal attributes,"['basics', 'personal']"
20,personal vitae,"['basics', 'personal']"
21,personal background,"['basics', 'personal']"
22,personal strengths,"['basics', 'personal']"
23,linkedin profile,"['basics', 'personal']"
24,personal skills,"['basics', 'personal']"
25,personal attributes,"['basics', 'personal']"
26,passport details,"['basics', 'personal']"
27,profile,"['basics', 'personal']"
28,academic profile,"['basics', 'personal']"
29,personel information,"['basics', 'personal']"
30,personal info,"['basics', 'personal']"
31,personals details,"['basics', 'personal']"
32,personal informations,"['basics', 'personal']"
33,personal profile,"['basics', 'personal']"
34,personal dossier,"['basics', 'personal']"
35,personal details,"['basics', 'personal']"
36,personal details,"['basics', 'personal']"
37,personal qualities,"['basics', 'personal']"
38,personality traits,"['basics', 'personal']"
39,personal skills,"['basics', 'personal']"
40,personal traits,"['basics', 'personal']"
41,personal detail,"['basics', 'personal']"
42,personnal details,"['basics', 'personal']"
43,personal vitae,"['basics', 'personal']"
44,personal  qualities,"['basics', 'personal']"
45,,"['basics', 'name']"
46,position,"['basics', 'label']"
47,,"['basics', 'image']"
48,email,"['basics', 'email']"
49,emails,"['basics', 'email']"
50,phone,"['basics', 'phone']"
51,contact details,"['basics', 'phone']"
52,contact,"['basics', 'phone']"
53,,"['basics', 'url']"
54,about me,"['basics', 'summary']"
55,summary,"['basics', 'summary']"
56,job objective,"['basics', 'summary']"
57,summary,"['basics', 'summary']"
58,[a] summary,"['basics', 'summary']"
59,job objective,"['basics', 'summary']"
60,co-curricular activities,"['basics', 'summary']"
61,ex-curricular activities,"['basics', 'summary']"
62,abilities,"['basics', 'summary']"
63,career vision,"['basics', 'summary']"
64,vision,"['basics', 'summary']"
65,objective,"['basics', 'summary']"
66,brief overview,"['basics', 'summary']"
67,profile summary,"['basics', 'summary']"
68,career contour,"['basics', 'summary']"
69,job objective,"['basics', 'summary']"
70,career vision,"['basics', 'summary']"
71,objective,"['basics', 'summary']"
72,overview,"['basics', 'summary']"
73,profile summary,"['basics', 'summary']"
74,synopsis,"['basics', 'summary']"
75,profile summary,"['basics', 'summary']"
76,career objective,"['basics', 'summary']"
77,carrier objectives,"['basics', 'summary']"
78,career objective,"['basics', 'summary']"
79,career objective & summary,"['basics', 'summary']"
80,career objectives,"['basics', 'summary']"
81,objectives,"['basics', 'summary']"
82,objectives,"['basics', 'summary']"
83,,"['basics', 'location', 'address']"
84,,"['basics', 'location', 'postalcode']"
85,,"['basics', 'location', 'city']"
86,,"['basics', 'location', 'countrycode']"
87,,"['basics', 'location', 'region']"
88,,"['basics', 'profiles', 'network']"
89,,"['basics', 'profiles', 'username']"
90,,"['basics', 'profiles', 'url']"
91,employment details,"['work experience', 'experience']"
92,work & experiance,"['work experience', 'experience']"
93,organisational experience,"['work experience', 'experience']"
94,hardware & networking experience,"['work experience', 'experience']"
95,project resposibilities,"['work experience', 'experience']"
96,professional qualification,"['work experience', 'experience']"
97,overall experience,"['work experience', 'experience']"
98,total professional experience,"['work experience', 'experience']"
99,project and work responsibilities,"['work experience', 'experience']"
100,software projects,"['work experience', 'experience']"
101,past work history &  experience,"['work experience', 'experience']"
102,key projects,"['work experience', 'experience']"
103,professional synopsis,"['work experience', 'experience']"
104,professional attainments,"['work experience', 'experience']"
105,organizational experience,"['work experience', 'experience']"
106,organizational experience,"['work experience', 'experience']"
107,organisational experience,"['work experience', 'experience']"
108,organisational experience,"['work experience', 'experience']"
109,employment chronicle,"['work experience', 'experience']"
110,key projects handled,"['work experience', 'experience']"
111,onsite exposure,"['work experience', 'experience']"
112,technical profile,"['work experience', 'experience']"
113,professional experience & details,"['work experience', 'experience']"
114,areas of expertise,"['work experience', 'experience']"
115,project work,"['work experience', 'experience']"
116,key projects undertaken,"['work experience', 'experience']"
117,organisational scan,"['work experience', 'experience']"
118,employment history,"['work experience', 'experience']"
119,organizational scan,"['work experience', 'experience']"
120,professional digest,"['work experience', 'experience']"
121,employment history,"['work experience', 'experience']"
122,professional history,"['work experience', 'experience']"
123,project experience,"['work experience', 'experience']"
124,career history,"['work experience', 'experience']"
125,last experience,"['work experience', 'experience']"
126,profile & experience summary,"['work experience', 'experience']"
127,handled projects,"['work experience', 'experience']"
128,project worked,"['work experience', 'experience']"
129,experience chronology,"['work experience', 'experience']"
130,current projects,"['work experience', 'experience']"
131,projects undertaken,"['work experience', 'experience']"
132,executive profile,"['work experience', 'experience']"
133,current employer,"['work experience', 'experience']"
134,projects,"['work experience', 'experience']"
135,projects handled,"['work experience', 'experience']"
136,projects,"['work experience', 'experience']"
137,projects details,"['work experience', 'experience']"
138,project details,"['work experience', 'experience']"
139,projects details,"['work experience', 'experience']"
140,projects worked on,"['work experience', 'experience']"
141,projects handled,"['work experience', 'experience']"
142,projects undertaken,"['work experience', 'experience']"
143,onsite experience,"['work experience', 'experience']"
144,projects profile,"['work experience', 'experience']"
145,experience summary,"['work experience', 'experience']"
146,experience details,"['work experience', 'experience']"
147,experience,"['work experience', 'experience']"
148,experience,"['work experience', 'experience']"
149,experiences,"['work experience', 'experience']"
150,experience summary,"['work experience', 'experience']"
151,experience summary,"['work experience', 'experience']"
152,experience snapshot,"['work experience', 'experience']"
153,working experience,"['work experience', 'experience']"
154,working experience,"['work experience', 'experience']"
155,job experience,"['work experience', 'experience']"
156,work experince,"['work experience', 'experience']"
157,working experience with,"['work experience', 'experience']"
158,work areas,"['work experience', 'experience']"
159,work history,"['work experience', 'experience']"
160,work & experiance,"['work experience', 'experience']"
161,work profile,"['work experience', 'experience']"
162,employment experience,"['work experience', 'experience']"
163,work experience & professional experience,"['work experience', 'experience']"
164,professional experience,"['work experience', 'experience']"
165,work history,"['work experience', 'experience']"
166,work experience,"['work experience', 'experience']"
167,work history,"['work experience', 'experience']"
168,work experience,"['work experience', 'experience']"
169,work experience details,"['work experience', 'experience']"
170,total work experience,"['work experience', 'experience']"
171,total work experience,"['work experience', 'experience']"
172,,"['work experience', 'name']"
173,,"['work experience', 'location']"
174,,"['work experience', 'description']"
175,,"['work experience', 'position']"
176,,"['work experience', 'url']"
177,,"['work experience', 'startdate']"
178,,"['work experience', 'enddate']"
179,summary of experience,"['work experience', 'summary']"
180,executive summary,"['work experience', 'summary']"
181,professional summary,"['work experience', 'summary']"
182,professional summary,"['work experience', 'summary']"
183,project summary,"['work experience', 'summary']"
184,career summary,"['work experience', 'summary']"
185,project highlights,"['work experience', 'summary']"
186,career summary,"['work experience', 'summary']"
187,career summary,"['work experience', 'summary']"
188,,"['work experience', 'highlights']"
189,,"['volunteer', 'organization']"
190,,"['volunteer', 'position']"
191,,"['volunteer', 'url']"
192,,"['volunteer', 'startdate']"
193,,"['volunteer', 'enddate']"
194,,"['volunteer', 'summary']"
195,,"['volunteer', 'highlights']"
196,education / professional development,"['education', 'education']"
197,summary of qualification,"['education', 'education']"
198,,"['education', 'institution']"
199,,"['education', 'area']"
200,,"['education', 'studytype']"
201,,"['education', 'startdate']"
202,,"['education', 'enddate']"
203,,"['education', 'gpa']"
204,award & achievements,"['awards', 'title']"
205,training& certifications,"['awards', 'title']"
206,achievement highlights,"['awards', 'title']"
207,extra-curricular activities,"['awards', 'title']"
208,training experience,"['awards', 'title']"
209,,"['awards', 'date']"
210,,"['awards', 'awarder']"
211,,"['awards', 'summary']"
212,research and publications,"['publications', 'name']"
213,published titles,"['publications', 'name']"
214,,"['publications', 'publisher']"
215,,"['publications', 'releasedate']"
216,,"['publications', 'url']"
217,,"['publications', 'summary']"
218,,"['skills', 'name']"
219,,"['skills', 'level']"
220,technical skills,"['skills', 'keywords']"
221,working skill,"['skills', 'keywords']"
222,behavior skills,"['skills', 'keywords']"
223,software skills,"['skills', 'keywords']"
224,key domain and technical knowledge,"['skills', 'keywords']"
225,co-curricular activities/ achievements,"['skills', 'keywords']"
226,accomplishments,"['skills', 'keywords']"
227,achievement,"['skills', 'keywords']"
228,extra curriculum,"['skills', 'keywords']"
229,extra-curricular activity,"['skills', 'keywords']"
230,achivements & extra curricular activity,"['skills', 'keywords']"
231,professional trainings,"['skills', 'keywords']"
232,industrial training,"['skills', 'keywords']"
233,co-curricularactivities,"['skills', 'keywords']"
234,career interests,"['skills', 'keywords']"
235,other notable qualifications,"['skills', 'keywords']"
236,extra  curricullar  activities,"['skills', 'keywords']"
237,highlights,"['skills', 'keywords']"
238,declarations,"['skills', 'keywords']"
239,significant highlight,"['skills', 'keywords']"
240,training programs,"['skills', 'keywords']"
241,areas of interest,"['skills', 'keywords']"
242,declaration,"['skills', 'keywords']"
243,interest & hobbies,"['skills', 'keywords']"
244,reward & recognition,"['skills', 'keywords']"
245,reward & recognitions,"['skills', 'keywords']"
246,summertraining,"['skills', 'keywords']"
247,rewards&achievements,"['skills', 'keywords']"
248,extra-curricularactivities,"['skills', 'keywords']"
249,characteristic strengths,"['skills', 'keywords']"
250,knowledge base/technical skills,"['skills', 'keywords']"
251,proficient in,"['skills', 'keywords']"
252,skills and knowledge acquired through education and experience,"['skills', 'keywords']"
253,functional skills,"['skills', 'keywords']"
254,technical expertise,"['skills', 'keywords']"
255,computer skill set,"['skills', 'keywords']"
256,professional strengths,"['skills', 'keywords']"
257,database technologies & skill sets,"['skills', 'keywords']"
258,technology toolsets,"['skills', 'keywords']"
259,core competency,"['skills', 'keywords']"
260,it skills,"['skills', 'keywords']"
261,it skills,"['skills', 'keywords']"
262,core competencies,"['skills', 'keywords']"
263,core competencies,"['skills', 'keywords']"
264,interpersonal skills,"['skills', 'keywords']"
265,computer certification,"['skills', 'keywords']"
266,technical proficiencies,"['skills', 'keywords']"
267,technical expertise,"['skills', 'keywords']"
268,technical knowledge,"['skills', 'keywords']"
269,technical proficiency,"['skills', 'keywords']"
270,technical knowledge,"['skills', 'keywords']"
271,technical skills,"['skills', 'keywords']"
272,technical skills,"['skills', 'keywords']"
273,key strengths,"['skills', 'keywords']"
274,key strength,"['skills', 'keywords']"
275,technical skills,"['skills', 'keywords']"
276,other skills,"['skills', 'keywords']"
277,other skills,"['skills', 'keywords']"
278,technical cognizance,"['skills', 'keywords']"
279,technical skill set,"['skills', 'keywords']"
280,information technlogy skills,"['skills', 'keywords']"
281,technical skills and knowledge,"['skills', 'keywords']"
282,key skill sets,"['skills', 'keywords']"
283,career skills / knowledge,"['skills', 'keywords']"
284,excellence sphere,"['skills', 'keywords']"
285,excellence,"['skills', 'keywords']"
286,technical skills,"['skills', 'keywords']"
287,technical qualifications,"['skills', 'keywords']"
288,key skills,"['skills', 'keywords']"
289,technical qualification,"['skills', 'keywords']"
290,additional professional skills,"['skills', 'keywords']"
291,computer knowledge,"['skills', 'keywords']"
292,personal skills,"['skills', 'keywords']"
293,strength,"['skills', 'keywords']"
294,strengths,"['skills', 'keywords']"
295,software proficiency,"['skills', 'keywords']"
296,software proficiency,"['skills', 'keywords']"
297,excellence,"['skills', 'keywords']"
298,leadership skills,"['skills', 'keywords']"
299,skill sets,"['skills', 'keywords']"
300,skills and strengths,"['skills', 'keywords']"
301,skill summary,"['skills', 'keywords']"
302,skill sets,"['skills', 'keywords']"
303,skills,"['skills', 'keywords']"
304,skillset,"['skills', 'keywords']"
305,skills set,"['skills', 'keywords']"
306,skills and knowledge acquired through education and experience,"['skills', 'keywords']"
307,skills,"['skills', 'keywords']"
308,skills set,"['skills', 'keywords']"
309,skills & proficiencies,"['skills', 'keywords']"
310,skills summary,"['skills', 'keywords']"
311,skills and knowledge acquired through experience & training,"['skills', 'keywords']"
312,skills & abilities,"['skills', 'keywords']"
313,skill set,"['skills', 'keywords']"
314,skills profile,"['skills', 'keywords']"
315,skill/strenth,"['skills', 'keywords']"
316,skills & strenghts,"['skills', 'keywords']"
317,skills summary,"['skills', 'keywords']"
318,skills summary,"['skills', 'keywords']"
319,skill set,"['skills', 'keywords']"
320,strength,"['skills', 'keywords']"
321,strength and skills,"['skills', 'keywords']"
322,strengths & weakness,"['skills', 'keywords']"
323,strength,"['skills', 'keywords']"
324,strengths,"['skills', 'keywords']"
325,,"['languages', 'language']"
326,,"['languages', 'fluency']"
327,participation and achievements,"['interests', 'name']"
328,hobbies / interests,"['interests', 'name']"
329,trainings,"['interests', 'name']"
330,other certification,"['interests', 'name']"
331,training/certification details,"['interests', 'name']"
332,trainings & achievements,"['interests', 'name']"
333,certifications,"['interests', 'name']"
334,award details,"['interests', 'name']"
335,training and certification,"['interests', 'name']"
336,extracurricular activities,"['interests', 'name']"
337,certified courses,"['interests', 'name']"
338,course and certification,"['interests', 'name']"
339,achievements,"['interests', 'name']"
340,achievements/extra-curricular,"['interests', 'name']"
341,achievements,"['interests', 'name']"
342,technical certification,"['interests', 'name']"
343,internship experience,"['interests', 'name']"
344,internship,"['interests', 'name']"
345,internship,"['interests', 'name']"
346,internships,"['interests', 'name']"
347,internship/training,"['interests', 'name']"
348,certification,"['interests', 'name']"
349,certifications,"['interests', 'name']"
350,certifications and accomplishments,"['interests', 'name']"
351,certification,"['interests', 'name']"
352,certifications/licenses,"['interests', 'name']"
353,certifications,"['interests', 'name']"
354,certification & education,"['interests', 'name']"
355,certification details,"['interests', 'name']"
356,certification/s,"['interests', 'name']"
357,certification/professional awards,"['interests', 'name']"
358,awards,"['interests', 'name']"
359,awards,"['interests', 'name']"
360,awards & achievements,"['interests', 'name']"
361,awards and accomplishments,"['interests', 'name']"
362,extra curricular activities,"['interests', 'name']"
363,technical forte,"['interests', 'name']"
364,awards and recognitions,"['interests', 'name']"
365,awards & certificate,"['interests', 'name']"
366,awards & extra curricular activities,"['interests', 'name']"
367,awards and achievements,"['interests', 'name']"
368,awards & recognitions,"['interests', 'name']"
369,extra curricular activties,"['interests', 'name']"
370,interests,"['interests', 'name']"
371,hobbies,"['interests', 'name']"
372,interests and hobbies,"['interests', 'name']"
373,interests,"['interests', 'name']"
374,interests,"['interests', 'name']"
375,interests and hobbies,"['interests', 'name']"
376,hobbies,"['interests', 'name']"
377,hobbies&interests,"['interests', 'name']"
378,hobbies,"['interests', 'name']"
379,hobbies and interest,"['interests', 'name']"
380,co-curricular activities,"['interests', 'name']"
381,hobbies / interests,"['interests', 'name']"
382,hobbies and interest,"['interests', 'name']"
383,achievements & accomplishments,"['interests', 'name']"
384,achievements & extra curricular activities,"['interests', 'name']"
385,achievements & awards,"['interests', 'name']"
386,,"['interests', 'keywords']"
387,,"['references', 'name']"
388,,"['references', 'reference']"
389,projects,"['projects', 'name']"
390,preceeding assignments,"['projects', 'name']"
391,key project handled,"['projects', 'name']"
392,project experience highlights,"['projects', 'name']"
393,project profile,"['projects', 'name']"
394,project profile,"['projects', 'name']"
395,,"['projects', 'description']"
396,,"['projects', 'keywords']"
397,,"['projects', 'startdate']"
398,currently working,"['projects', 'enddate']"
399,currently working,"['projects', 'enddate']"
400,,"['projects', 'url']"
401,,"['projects', 'roles']"
402,,"['projects', 'entity']"
403,,"['projects', 'type']"
404,declaration,['others']
405,career snapshot,['others']
406,document types and other deliverables,['others']
